VALOR,INDICADOR,CLASIF,PERIODO,VALOR PERIODO,COD_UBICACION,AMBITO_PROY,DEPARTAMENTO,departamento,indicador,anio,valor,ambito
15.8,PORCENTAJE DE CONFIANZA EN LA PNP,16,AÑO,2018,18,DEPARTAMENTO,MOQUEGUA,MOQUEGUA,confianza_pnp_pct,2018,15.8,DEPARTAMENTO
15.2,PORCENTAJE DE CONFIANZA EN LA PNP,17,AÑO,2018,9,DEPARTAMENTO,HUANCAVELICA,HUANCAVELICA,confianza_pnp_pct,2018,15.2,DEPARTAMENTO
14.8,PORCENTAJE DE CONFIANZA EN LA PNP,18,AÑO,2018,2,DEPARTAMENTO,ÁNCASH,ANCASH,confianza_pnp_pct,2018,14.8,DEPARTAMENTO
14.5,PORCENTAJE DE CONFIANZA EN LA PNP,19,AÑO,2018,19,DEPARTAMENTO,PASCO,PASCO,confianza_pnp_pct,2018,14.5,DEPARTAMENTO
13.7,PORCENTAJE DE CONFIANZA EN LA PNP,20,AÑO,2018,10,DEPARTAMENTO,HUÁNUCO,HUANUCO,confianza_pnp_pct,2018,13.7,DEPARTAMENTO
13.5,PORCENTAJE DE CONFIANZA EN LA PNP,21,AÑO,2018,8,DEPARTAMENTO,CUSCO,CUSCO,confianza_pnp_pct,2018,13.5,DEPARTAMENTO
10.5,PORCENTAJE DE CONFIANZA EN LA PNP,22,AÑO,2018,3,DEPARTAMENTO,APURÍMAC,APURIMAC,confianza_pnp_pct,2018,10.5,DEPARTAMENTO
10.2,PORCENTAJE DE CONFIANZA EN LA PNP,23,AÑO,2018,12,DEPARTAMENTO,JUNÍN,JUNIN,confianza_pnp_pct,2018,10.2,DEPARTAMENTO
9.1,PORCENTAJE DE CONFIANZA EN LA PNP,24,AÑO,2018,5,DEPARTAMENTO,AYACUCHO,AYACUCHO,confianza_pnp_pct,2018,9.1,DEPARTAMENTO
8.4,PORCENTAJE DE CONFIANZA EN LA PNP,25,AÑO,2018,17,DEPARTAMENTO,MADRE DE DIOS,MADRE DE DIOS,confianza_pnp_pct,2018,8.4,DEPARTAMENTO
5.9,PORCENTAJE DE CONFIANZA EN LA PNP,26,AÑO,2018,21,DEPARTAMENTO,PUNO,PUNO,confianza_pnp_pct,2018,5.9,DEPARTAMENTO
18.8,PORCENTAJE DE CONFIANZA EN LA PNP,0,AÑO,2019,0,NACIONAL,NACIONAL,NACIONAL,confianza_pnp_pct,2019,18.8,NACIONAL
31.8,PORCENTAJE DE CONFIANZA EN LA PNP,1,AÑO,2019,24,DEPARTAMENTO,TUMBES,TUMBES,confianza_pnp_pct,2019,31.8,DEPARTAMENTO
